deg1,deg2
27.0,557.0
34.0,636.0
31.0,583.0
38.0,688.0
33.0,632.0
31.0,620.0
27.0,551.0
31.0,607.0
32.0,623.0
33.0,612.0
38.0,667.0
19.0,415.0
30.0,589.0
35.0,614.0
31.0,577.0
26.0,528.0
35.0,651.0
29.0,600.0
34.0,626.0
30.0,575.0
36.0,679.0
36.0,657.0
34.0,620.0
36.0,638.0
27.0,577.0
19.0,460.0
31.0,575.0
36.0,666.0
32.0,625.0
31.0,610.0
25.0,528.0
25.0,522.0
32.0,606.0
29.0,583.0
27.0,574.0
37.0,651.0
30.0,580.0
25.0,511.0
39.0,658.0
36.0,664.0
33.0,624.0
26.0,551.0
23.0,515.0
26.0,521.0
29.0,570.0
22.0,466.0
34.0,635.0
27.0,547.0
34.0,623.0
29.0,579.0
25.0,518.0
29.0,582.0
34.0,628.0
34.0,642.0
39.0,675.0
32.0,611.0
25.0,542.0
36.0,639.0
31.0,569.0
31.0,578.0
41.0,668.0
32.0,597.0
38.0,680.0
35.0,620.0
27.0,542.0
36.0,656.0
27.0,562.0
27.0,574.0
31.0,615.0
36.0,641.0
27.0,523.0
34.0,590.0
31.0,592.0
28.0,571.0
36.0,657.0
37.0,651.0
31.0,569.0
31.0,584.0
27.0,550.0
42.0,709.0
23.0,529.0
27.0,548.0
31.0,595.0
37.0,666.0
31.0,588.0
40.0,664.0
22.0,482.0
35.0,631.0
30.0,600.0
29.0,563.0
30.0,563.0
25.0,499.0
24.0,518.0
34.0,632.0
32.0,607.0
24.0,503.0
31.0,592.0
32.0,595.0
32.0,601.0
50.0,756.0
29.0,558.0
35.0,636.0
33.0,627.0
27.0,519.0
30.0,586.0
30.0,599.0
34.0,627.0
27.0,571.0
40.0,678.0
32.0,597.0
30.0,593.0
33.0,628.0
28.0,569.0
30.0,590.0
39.0,671.0
25.0,509.0
26.0,536.0
38.0,648.0
44.0,722.0
28.0,579.0
33.0,601.0
32.0,565.0
24.0,525.0
31.0,584.0
30.0,609.0
42.0,696.0
24.0,512.0
35.0,624.0
29.0,570.0
36.0,645.0
25.0,526.0
25.0,513.0
31.0,593.0
34.0,612.0
38.0,651.0
24.0,519.0
32.0,610.0
30.0,605.0
27.0,539.0
31.0,571.0
37.0,637.0
42.0,676.0
27.0,523.0
38.0,665.0
32.0,598.0
24.0,511.0
33.0,595.0
32.0,608.0
39.0,678.0
30.0,589.0
29.0,588.0
32.0,618.0
30.0,583.0
33.0,627.0
32.0,581.0
35.0,652.0
28.0,567.0
28.0,534.0
37.0,658.0
26.0,549.0
22.0,488.0
40.0,676.0
22.0,476.0
30.0,569.0
37.0,654.0
30.0,613.0
41.0,664.0
26.0,560.0
34.0,588.0
39.0,638.0
27.0,543.0
36.0,632.0
26.0,524.0
18.0,452.0
33.0,614.0
31.0,584.0
33.0,645.0
27.0,565.0
33.0,621.0
29.0,543.0
27.0,545.0
44.0,725.0
33.0,623.0
22.0,480.0
30.0,579.0
33.0,592.0
29.0,576.0
32.0,589.0
34.0,638.0
30.0,573.0
30.0,568.0
35.0,611.0
24.0,509.0
36.0,633.0
21.0,482.0
24.0,501.0
33.0,614.0
28.0,570.0
21.0,460.0
37.0,672.0
32.0,625.0
36.0,643.0
33.0,612.0
33.0,625.0
24.0,518.0
27.0,550.0
33.0,605.0
31.0,604.0
32.0,587.0
35.0,626.0
29.0,565.0
30.0,564.0
24.0,485.0
32.0,600.0
36.0,659.0
26.0,556.0
28.0,553.0
31.0,596.0
25.0,509.0
27.0,555.0
29.0,597.0
38.0,662.0
32.0,617.0
32.0,609.0
34.0,631.0
27.0,544.0
39.0,633.0
26.0,528.0
28.0,570.0
36.0,628.0
37.0,624.0
30.0,603.0
39.0,680.0
23.0,493.0
36.0,656.0
30.0,581.0
30.0,591.0
25.0,538.0
38.0,681.0
36.0,652.0
32.0,583.0
47.0,721.0
26.0,544.0
27.0,579.0
26.0,565.0
27.0,540.0
34.0,630.0
23.0,498.0
23.0,456.0
35.0,641.0
21.0,453.0
40.0,674.0
27.0,560.0
42.0,700.0
36.0,644.0
24.0,518.0
35.0,664.0
33.0,606.0
33.0,613.0
30.0,578.0
42.0,686.0
34.0,632.0
34.0,638.0
35.0,613.0
25.0,518.0
23.0,487.0
29.0,578.0
29.0,593.0
46.0,723.0
33.0,647.0
34.0,630.0
38.0,645.0
30.0,584.0
35.0,641.0
38.0,649.0
29.0,582.0
34.0,623.0
31.0,597.0
37.0,648.0
32.0,615.0
28.0,570.0
24.0,499.0
23.0,477.0
33.0,629.0
36.0,660.0
24.0,512.0
25.0,510.0
24.0,516.0
30.0,569.0
32.0,636.0
27.0,558.0
29.0,543.0
21.0,497.0
31.0,612.0
30.0,588.0
29.0,574.0
26.0,505.0
24.0,498.0
29.0,588.0
30.0,602.0
38.0,664.0
34.0,643.0
17.0,398.0
27.0,566.0
27.0,538.0
31.0,575.0
28.0,594.0
30.0,560.0
21.0,479.0
21.0,483.0
33.0,610.0
28.0,562.0
29.0,571.0
34.0,624.0
24.0,492.0
26.0,562.0
24.0,494.0
27.0,538.0
36.0,645.0
35.0,654.0
29.0,569.0
30.0,581.0
25.0,496.0
29.0,556.0
23.0,489.0
26.0,554.0
29.0,574.0
34.0,619.0
29.0,562.0
30.0,612.0
30.0,571.0
25.0,511.0
21.0,463.0
36.0,655.0
23.0,497.0
32.0,605.0
28.0,547.0
28.0,533.0
25.0,535.0
23.0,479.0
26.0,557.0
31.0,601.0
32.0,605.0
27.0,541.0
24.0,520.0
40.0,693.0
28.0,583.0
23.0,505.0
28.0,560.0
24.0,510.0
39.0,683.0
32.0,623.0
39.0,658.0
32.0,604.0
27.0,553.0
34.0,620.0
32.0,597.0
23.0,492.0
28.0,587.0
34.0,630.0
21.0,458.0
29.0,569.0
30.0,617.0
32.0,588.0
31.0,607.0
24.0,516.0
37.0,642.0
22.0,474.0
35.0,627.0
35.0,615.0
32.0,606.0
30.0,577.0
36.0,642.0
32.0,614.0
35.0,598.0
27.0,540.0
27.0,546.0
24.0,534.0
44.0,703.0
33.0,616.0
38.0,657.0
27.0,545.0
29.0,577.0
21.0,471.0
31.0,629.0
31.0,621.0
25.0,525.0
28.0,564.0
28.0,543.0
25.0,544.0
36.0,670.0
32.0,597.0
25.0,534.0
28.0,539.0
33.0,610.0
24.0,489.0
39.0,661.0
26.0,547.0
21.0,475.0
24.0,484.0
29.0,558.0
33.0,618.0
28.0,570.0
35.0,664.0
34.0,643.0
34.0,636.0
26.0,547.0
34.0,641.0
22.0,482.0
33.0,651.0
31.0,575.0
35.0,638.0
35.0,627.0
31.0,607.0
38.0,680.0
32.0,604.0
31.0,603.0
25.0,519.0
33.0,612.0
23.0,506.0
23.0,508.0
29.0,547.0
28.0,539.0
21.0,481.0
26.0,514.0
30.0,587.0
35.0,663.0
34.0,599.0
29.0,596.0
43.0,719.0
37.0,647.0
28.0,558.0
31.0,609.0
30.0,571.0
25.0,512.0
27.0,569.0
33.0,616.0
45.0,725.0
25.0,533.0
34.0,628.0
30.0,574.0
29.0,588.0
33.0,593.0
32.0,621.0
31.0,589.0
36.0,641.0
36.0,651.0
34.0,623.0
26.0,546.0
35.0,642.0
40.0,705.0
37.0,675.0
24.0,486.0
35.0,606.0
30.0,570.0
27.0,545.0
26.0,538.0
23.0,470.0
31.0,602.0
33.0,627.0
26.0,550.0
34.0,626.0
33.0,617.0
33.0,606.0
24.0,507.0
24.0,500.0
21.0,425.0
19.0,433.0
23.0,492.0
30.0,593.0
33.0,641.0
27.0,549.0
25.0,526.0
31.0,587.0
31.0,583.0
31.0,573.0
25.0,546.0
34.0,636.0
19.0,444.0
24.0,514.0
32.0,603.0
28.0,550.0
34.0,657.0
27.0,547.0
32.0,628.0
22.0,489.0
26.0,513.0
30.0,577.0
26.0,562.0
31.0,619.0
31.0,606.0
30.0,589.0
39.0,666.0
33.0,607.0
22.0,479.0
32.0,627.0
27.0,553.0
30.0,615.0
24.0,498.0
26.0,549.0
31.0,603.0
28.0,551.0
28.0,549.0
42.0,694.0
35.0,635.0
35.0,640.0
26.0,533.0
31.0,588.0
28.0,557.0
38.0,653.0
31.0,592.0
25.0,511.0
28.0,560.0
32.0,560.0
23.0,521.0
37.0,659.0
32.0,604.0
25.0,548.0
31.0,582.0
32.0,610.0
34.0,617.0
33.0,628.0
36.0,639.0
27.0,549.0
29.0,579.0
32.0,606.0
28.0,543.0
27.0,567.0
31.0,591.0
33.0,592.0
31.0,580.0
33.0,620.0
30.0,543.0
29.0,579.0
33.0,613.0
29.0,558.0
30.0,606.0
41.0,700.0
46.0,726.0
30.0,591.0
33.0,616.0
33.0,620.0
37.0,647.0
37.0,649.0
24.0,532.0
24.0,493.0
27.0,544.0
34.0,604.0
27.0,550.0
37.0,632.0
20.0,443.0
37.0,636.0
32.0,653.0
32.0,598.0
26.0,529.0
28.0,558.0
25.0,539.0
28.0,584.0
24.0,525.0
30.0,586.0
34.0,645.0
29.0,567.0
30.0,594.0
36.0,627.0
31.0,594.0
34.0,618.0
33.0,619.0
44.0,702.0
24.0,510.0
21.0,452.0
17.0,395.0
30.0,579.0
19.0,451.0
38.0,676.0
34.0,635.0
32.0,610.0
22.0,485.0
32.0,608.0
35.0,641.0
29.0,581.0
31.0,597.0
28.0,552.0
31.0,597.0
24.0,524.0
31.0,606.0
23.0,515.0
31.0,595.0
30.0,596.0
25.0,526.0
26.0,510.0
23.0,527.0
35.0,619.0
38.0,675.0
29.0,566.0
26.0,542.0
33.0,637.0
29.0,579.0
23.0,492.0
24.0,516.0
34.0,630.0
27.0,554.0
21.0,446.0
38.0,643.0
30.0,587.0
30.0,561.0
36.0,663.0
30.0,587.0
37.0,650.0
27.0,541.0
30.0,583.0
26.0,541.0
32.0,647.0
39.0,667.0
29.0,591.0
33.0,627.0
27.0,556.0
32.0,595.0
38.0,677.0
30.0,590.0
37.0,657.0
25.0,538.0
33.0,632.0
24.0,495.0
27.0,548.0
21.0,482.0
34.0,635.0
39.0,672.0
30.0,583.0
28.0,568.0
33.0,654.0
33.0,607.0
31.0,595.0
29.0,579.0
35.0,630.0
24.0,503.0
27.0,572.0
34.0,623.0
33.0,605.0
34.0,635.0
27.0,551.0
23.0,506.0
22.0,471.0
29.0,598.0
36.0,642.0
32.0,615.0
39.0,674.0
22.0,483.0
36.0,636.0
34.0,639.0
34.0,637.0
30.0,619.0
27.0,541.0
27.0,540.0
34.0,642.0
22.0,474.0
31.0,570.0
30.0,572.0
37.0,657.0
28.0,555.0
34.0,623.0
28.0,546.0
31.0,606.0
35.0,618.0
24.0,524.0
41.0,674.0
34.0,643.0
40.0,680.0
26.0,552.0
33.0,629.0
32.0,597.0
26.0,534.0
31.0,618.0
33.0,611.0
26.0,558.0
33.0,631.0
29.0,556.0
29.0,595.0
35.0,624.0
25.0,541.0
36.0,642.0
37.0,645.0
23.0,512.0
29.0,586.0
23.0,501.0
20.0,445.0
46.0,728.0
40.0,681.0
26.0,500.0
40.0,662.0
38.0,644.0
23.0,508.0
30.0,567.0
39.0,665.0
28.0,556.0
29.0,581.0
28.0,580.0
27.0,539.0
37.0,652.0
25.0,520.0
27.0,545.0
30.0,596.0
33.0,636.0
30.0,568.0
23.0,476.0
31.0,587.0
34.0,616.0
33.0,631.0
34.0,622.0
29.0,587.0
42.0,692.0
35.0,653.0
35.0,642.0
29.0,548.0
30.0,592.0
24.0,516.0
35.0,642.0
39.0,657.0
30.0,578.0
34.0,632.0
26.0,513.0
30.0,562.0
38.0,656.0
29.0,579.0
34.0,644.0
31.0,583.0
33.0,615.0
32.0,598.0
26.0,559.0
37.0,694.0
34.0,614.0
34.0,610.0
39.0,648.0
21.0,460.0
30.0,558.0
25.0,519.0
21.0,433.0
27.0,551.0
34.0,631.0
23.0,505.0
30.0,584.0
32.0,609.0
22.0,503.0
19.0,446.0
50.0,751.0
32.0,610.0
33.0,639.0
29.0,574.0
29.0,564.0
39.0,668.0
27.0,573.0
24.0,504.0
37.0,627.0
31.0,618.0
30.0,575.0
20.0,462.0
31.0,578.0
31.0,586.0
25.0,528.0
32.0,631.0
29.0,584.0
25.0,529.0
34.0,624.0
28.0,552.0
25.0,518.0
25.0,519.0
30.0,594.0
35.0,632.0
20.0,450.0
36.0,652.0
28.0,565.0
32.0,600.0
27.0,541.0
25.0,524.0
34.0,623.0
27.0,529.0
26.0,556.0
22.0,479.0
32.0,596.0
34.0,618.0
32.0,605.0
29.0,569.0
22.0,503.0
31.0,610.0
33.0,598.0
42.0,669.0
37.0,653.0
26.0,537.0
29.0,546.0
32.0,615.0
31.0,576.0
29.0,577.0
30.0,588.0
34.0,624.0
31.0,602.0
28.0,580.0
19.0,456.0
38.0,672.0
31.0,612.0
23.0,493.0
37.0,658.0
33.0,622.0
22.0,503.0
20.0,475.0
36.0,644.0
36.0,622.0
29.0,597.0
36.0,635.0
29.0,577.0
29.0,565.0
26.0,516.0
37.0,662.0
32.0,625.0
36.0,661.0
26.0,534.0
25.0,507.0
30.0,600.0
24.0,498.0
37.0,649.0
32.0,611.0
24.0,525.0
26.0,544.0
31.0,588.0
